,0
0,AAPL  180420C00180000
1,AAPL  180420C00165000
2,AAPL  180420C00180000
3,AAPL  180420C00185000
4,AAPL  180316C00175000
5,AAPL  190118C00100000
6,AAPL  190118C00105000
7,AAPL  190118C00110000
8,AAPL  190118C00115000
9,AAPL  190118C00120000
10,AAPL  190118C00125000
11,AAPL  190118C00130000
12,AAPL  190118C00135000
13,AAPL  190118C00140000
14,AAPL  190118C00145000
15,AAPL  190118C00150000
16,AAPL  190118C00080000
17,AAPL  190118C00085000
18,AAPL  190118C00090000
19,AAPL  190118C00095000
20,AAPL  190118C00097500
21,AAPL  190118P00100000
22,AAPL  190118P00105000
23,AAPL  190118P00110000
24,AAPL  190118P00115000
25,AAPL  190118P00120000
26,AAPL  190118P00125000
27,AAPL  190118P00130000
28,AAPL  190118P00135000
29,AAPL  190118P00140000
30,AAPL  190118P00145000
31,AAPL  190118P00150000
32,AAPL  190118P00080000
33,AAPL  190118P00085000
34,AAPL  190118P00090000
35,AAPL  190118P00095000
36,AAPL  190118P00097500
37,AAPL  190118C00155000
38,AAPL  190118C00042500
39,AAPL  190118C00047500
40,AAPL  190118C00055000
41,AAPL  190118C00060000
42,AAPL  190118C00065000
43,AAPL  190118C00070000
44,AAPL  190118C00075000
45,AAPL  190118P00155000
46,AAPL  190118P00042500
47,AAPL  190118P00047500
48,AAPL  190118P00055000
49,AAPL  190118P00060000
50,AAPL  190118P00065000
51,AAPL  190118P00070000
52,AAPL  190118P00075000
53,AAPL  190118C00160000
54,AAPL  190118P00160000
55,AAPL  190118C00165000
56,AAPL  190118P00165000
57,AAPL  190118C00170000
58,AAPL  190118P00170000
59,AAPL  190118C00175000
60,AAPL  190118P00175000
61,AAPL  190118C00180000
62,AAPL  190118P00180000
63,AAPL  190118C00185000
64,AAPL  190118C00190000
65,AAPL  190118P00185000
66,AAPL  190118P00190000
67,AAPL  190118C00195000
68,AAPL  190118P00195000
69,AAPL  180615C00100000
70,AAPL  180615C00105000
71,AAPL  180615C00110000
72,AAPL  180615C00115000
73,AAPL  180615C00120000
74,AAPL  180615C00125000
75,AAPL  180615C00130000
76,AAPL  180615C00135000
77,AAPL  180615C00140000
78,AAPL  180615C00145000
79,AAPL  180615C00150000
80,AAPL  180615C00155000
81,AAPL  180615C00160000
82,AAPL  180615C00165000
83,AAPL  180615C00170000
84,AAPL  180615C00175000
85,AAPL  180615C00180000
86,AAPL  180615C00185000
87,AAPL  180615C00190000
88,AAPL  180615C00195000
89,AAPL  180615C00070000
90,AAPL  180615C00075000
91,AAPL  180615C00080000
92,AAPL  180615C00085000
93,AAPL  180615C00090000
94,AAPL  180615C00095000
95,AAPL  180615P00100000
96,AAPL  180615P00105000
97,AAPL  180615P00110000
98,AAPL  180615P00115000
99,AAPL  180615P00120000
100,AAPL  180615P00125000
101,AAPL  180615P00130000
102,AAPL  180615P00135000
103,AAPL  180615P00140000
104,AAPL  180615P00145000
105,AAPL  180615P00150000
106,AAPL  180615P00155000
107,AAPL  180615P00160000
108,AAPL  180615P00165000
109,AAPL  180615P00170000
110,AAPL  180615P00175000
111,AAPL  180615P00180000
112,AAPL  180615P00185000
113,AAPL  180615P00190000
114,AAPL  180615P00195000
115,AAPL  180615P00070000
116,AAPL  180615P00075000
117,AAPL  180615P00080000
118,AAPL  180615P00085000
119,AAPL  180615P00090000
120,AAPL  180615P00095000
121,AAPL  180615C00200000
122,AAPL  180615P00200000
123,AAPL  190118C00200000
124,AAPL  190118P00200000
125,AAPL  180615C00210000
126,AAPL  180615P00210000
127,AAPL  190118C00210000
128,AAPL  190118P00210000
129,AAPL  180615C00205000
130,AAPL  180615C00215000
131,AAPL  180615C00220000
132,AAPL  180615C00225000
133,AAPL  180615C00230000
134,AAPL  180615C00235000
135,AAPL  180615C00240000
136,AAPL  180615C00245000
137,AAPL  180615C00250000
138,AAPL  180615P00205000
139,AAPL  180615P00215000
140,AAPL  180615P00220000
141,AAPL  180615P00225000
142,AAPL  180615P00230000
143,AAPL  180615P00235000
144,AAPL  180615P00240000
145,AAPL  180615P00245000
146,AAPL  180615P00250000
147,AAPL  190118C00205000
148,AAPL  190118C00215000
149,AAPL  190118C00220000
150,AAPL  190118C00225000
151,AAPL  190118C00230000
152,AAPL  190118C00235000
153,AAPL  190118C00240000
154,AAPL  190118C00245000
155,AAPL  190118C00250000
156,AAPL  190118P00205000
157,AAPL  190118P00215000
158,AAPL  190118P00220000
159,AAPL  190118P00225000
160,AAPL  190118P00230000
161,AAPL  190118P00235000
162,AAPL  190118P00240000
163,AAPL  190118P00245000
164,AAPL  190118P00250000
165,AAPL  180921C00100000
166,AAPL  180921C00105000
167,AAPL  180921C00110000
168,AAPL  180921C00115000
169,AAPL  180921C00120000
170,AAPL  180921C00125000
171,AAPL  180921C00130000
172,AAPL  180921C00135000
173,AAPL  180921C00140000
174,AAPL  180921C00145000
175,AAPL  180921C00150000
176,AAPL  180921C00155000
177,AAPL  180921C00160000
178,AAPL  180921C00165000
179,AAPL  180921C00170000
180,AAPL  180921C00175000
181,AAPL  180921C00180000
182,AAPL  180921C00185000
183,AAPL  180921C00190000
184,AAPL  180921C00195000
185,AAPL  180921C00200000
186,AAPL  180921C00205000
187,AAPL  180921C00210000
188,AAPL  180921C00215000
189,AAPL  180921C00220000
190,AAPL  180921C00225000
191,AAPL  180921C00230000
192,AAPL  180921C00235000
193,AAPL  180921C00240000
194,AAPL  180921C00245000
195,AAPL  180921C00250000
196,AAPL  180921C00075000
197,AAPL  180921C00080000
198,AAPL  180921C00085000
199,AAPL  180921C00090000
200,AAPL  180921C00095000
201,AAPL  180921P00100000
202,AAPL  180921P00105000
203,AAPL  180921P00110000
204,AAPL  180921P00115000
205,AAPL  180921P00120000
206,AAPL  180921P00125000
207,AAPL  180921P00130000
208,AAPL  180921P00135000
209,AAPL  180921P00140000
210,AAPL  180921P00145000
211,AAPL  180921P00150000
212,AAPL  180921P00155000
213,AAPL  180921P00160000
214,AAPL  180921P00165000
215,AAPL  180921P00170000
216,AAPL  180921P00175000
217,AAPL  180921P00180000
218,AAPL  180921P00185000
219,AAPL  180921P00190000
220,AAPL  180921P00195000
221,AAPL  180921P00200000
222,AAPL  180921P00205000
223,AAPL  180921P00210000
224,AAPL  180921P00215000
225,AAPL  180921P00220000
226,AAPL  180921P00225000
227,AAPL  180921P00230000
228,AAPL  180921P00235000
229,AAPL  180921P00240000
230,AAPL  180921P00245000
231,AAPL  180921P00250000
232,AAPL  180921P00075000
233,AAPL  180921P00080000
234,AAPL  180921P00085000
235,AAPL  180921P00090000
236,AAPL  180921P00095000
237,AAPL  180420C00120000
238,AAPL  180420C00125000
239,AAPL  180420C00130000
240,AAPL  180420C00135000
241,AAPL  180420C00140000
242,AAPL  180420C00145000
243,AAPL  180420C00150000
244,AAPL  180420C00155000
245,AAPL  180420C00160000
246,AAPL  180420C00170000
247,AAPL  180420C00175000
248,AAPL  180420C00190000
249,AAPL  180420C00195000
250,AAPL  180420C00200000
251,AAPL  180420C00205000
252,AAPL  180420C00210000
253,AAPL  180420P00120000
254,AAPL  180420P00125000
255,AAPL  180420P00130000
256,AAPL  180420P00135000
257,AAPL  180420P00140000
258,AAPL  180420P00145000
259,AAPL  180420P00150000
260,AAPL  180420P00155000
261,AAPL  180420P00160000
262,AAPL  180420P00165000
263,AAPL  180420P00170000
264,AAPL  180420P00175000
265,AAPL  180420P00180000
266,AAPL  180420P00185000
267,AAPL  180420P00190000
268,AAPL  180420P00195000
269,AAPL  180420P00200000
270,AAPL  180420P00205000
271,AAPL  180420P00210000
272,AAPL  180420C00100000
273,AAPL  180420C00105000
274,AAPL  180420C00110000
275,AAPL  180420C00115000
276,AAPL  180420C00085000
277,AAPL  180420C00090000
278,AAPL  180420C00095000
279,AAPL  180420P00100000
280,AAPL  180420P00105000
281,AAPL  180420P00110000
282,AAPL  180420P00115000
283,AAPL  180420P00085000
284,AAPL  180420P00090000
285,AAPL  180420P00095000
286,AAPL  180420C00220000
287,AAPL  180420P00220000
288,AAPL  180420C00230000
289,AAPL  180420P00230000
290,AAPL  180420C00010000
291,AAPL  180420C00012500
292,AAPL  180420C00015000
293,AAPL  180420C00017500
294,AAPL  180420C00002500
295,AAPL  180420C00020000
296,AAPL  180420C00215000
297,AAPL  180420C00022500
298,AAPL  180420C00225000
299,AAPL  180420C00235000
300,AAPL  180420C00240000
301,AAPL  180420C00245000
302,AAPL  180420C00250000
303,AAPL  180420C00255000
304,AAPL  180420C00025000
305,AAPL  180420C00260000
306,AAPL  180420C00265000
307,AAPL  180420C00270000
308,AAPL  180420C00275000
309,AAPL  180420C00280000
310,AAPL  180420C00285000
311,AAPL  180420C00290000
312,AAPL  180420C00295000
313,AAPL  180420C00300000
314,AAPL  180420C00305000
315,AAPL  180420C00030000
316,AAPL  180420C00310000
317,AAPL  180420C00315000
318,AAPL  180420C00320000
319,AAPL  180420C00035000
320,AAPL  180420C00040000
321,AAPL  180420C00045000
322,AAPL  180420C00050000
323,AAPL  180420C00055000
324,AAPL  180420C00005000
325,AAPL  180420C00060000
326,AAPL  180420C00065000
327,AAPL  180420C00007500
328,AAPL  180420C00070000
329,AAPL  180420C00075000
330,AAPL  180420C00080000
331,AAPL  180420P00010000
332,AAPL  180420P00012500
333,AAPL  180420P00015000
334,AAPL  180420P00017500
335,AAPL  180420P00002500
336,AAPL  180420P00020000
337,AAPL  180420P00215000
338,AAPL  180420P00022500
339,AAPL  180420P00225000
340,AAPL  180420P00235000
341,AAPL  180420P00240000
342,AAPL  180420P00245000
343,AAPL  180420P00250000
344,AAPL  180420P00255000
345,AAPL  180420P00025000
346,AAPL  180420P00260000
347,AAPL  180420P00265000
348,AAPL  180420P00270000
349,AAPL  180420P00275000
350,AAPL  180420P00280000
351,AAPL  180420P00285000
352,AAPL  180420P00290000
353,AAPL  180420P00295000
354,AAPL  180420P00300000
355,AAPL  180420P00305000
356,AAPL  180420P00030000
357,AAPL  180420P00310000
358,AAPL  180420P00315000
359,AAPL  180420P00320000
360,AAPL  180420P00035000
361,AAPL  180420P00040000
362,AAPL  180420P00045000
363,AAPL  180420P00050000
364,AAPL  180420P00055000
365,AAPL  180420P00005000
366,AAPL  180420P00060000
367,AAPL  180420P00065000
368,AAPL  180420P00007500
369,AAPL  180420P00070000
370,AAPL  180420P00075000
371,AAPL  180420P00080000
372,AAPL  200117C00115000
373,AAPL  200117C00120000
374,AAPL  200117C00125000
375,AAPL  200117C00130000
376,AAPL  200117C00135000
377,AAPL  200117C00140000
378,AAPL  200117C00145000
379,AAPL  200117C00150000
380,AAPL  200117C00155000
381,AAPL  200117C00160000
382,AAPL  200117C00165000
383,AAPL  200117C00170000
384,AAPL  200117C00175000
385,AAPL  200117C00180000
386,AAPL  200117C00185000
387,AAPL  200117C00190000
388,AAPL  200117C00195000
389,AAPL  200117C00200000
390,AAPL  200117C00210000
391,AAPL  200117P00115000
392,AAPL  200117P00120000
393,AAPL  200117P00125000
394,AAPL  200117P00130000
395,AAPL  200117P00135000
396,AAPL  200117P00140000
397,AAPL  200117P00145000
398,AAPL  200117P00150000
399,AAPL  200117P00155000
400,AAPL  200117P00160000
401,AAPL  200117P00165000
402,AAPL  200117P00170000
403,AAPL  200117P00175000
404,AAPL  200117P00180000
405,AAPL  200117P00185000
406,AAPL  200117P00190000
407,AAPL  200117P00195000
408,AAPL  200117P00200000
409,AAPL  200117P00210000
410,AAPL  200117C00100000
411,AAPL  200117C00105000
412,AAPL  200117C00110000
413,AAPL  200117C00220000
414,AAPL  200117C00230000
415,AAPL  200117C00240000
416,AAPL  200117C00085000
417,AAPL  200117C00090000
418,AAPL  200117C00095000
419,AAPL  200117P00100000
420,AAPL  200117P00105000
421,AAPL  200117P00110000
422,AAPL  200117P00220000
423,AAPL  200117P00230000
424,AAPL  200117P00240000
425,AAPL  200117P00085000
426,AAPL  200117P00090000
427,AAPL  200117P00095000
428,AAPL  200117C00080000
429,AAPL  200117P00080000
430,AAPL  200117C00250000
431,AAPL  200117P00250000
432,AAPL  180615C00260000
433,AAPL  180615P00260000
434,AAPL  180921C00260000
435,AAPL  180921P00260000
436,AAPL  190118C00260000
437,AAPL  190118P00260000
438,AAPL  200117C00260000
439,AAPL  200117P00260000
440,AAPL  180720C00100000
441,AAPL  180720C00105000
442,AAPL  180720C00010000
443,AAPL  180720C00110000
444,AAPL  180720C00115000
445,AAPL  180720C00012500
446,AAPL  180720C00120000
447,AAPL  180720C00125000
448,AAPL  180720C00130000
449,AAPL  180720C00135000
450,AAPL  180720C00140000
451,AAPL  180720C00145000
452,AAPL  180720C00150000
453,AAPL  180720C00155000
454,AAPL  180720C00015000
455,AAPL  180720C00160000
456,AAPL  180720C00165000
457,AAPL  180720C00017500
458,AAPL  180720C00170000
459,AAPL  180720C00175000
460,AAPL  180720C00180000
461,AAPL  180720C00185000
462,AAPL  180720C00190000
463,AAPL  180720C00195000
464,AAPL  180720C00002500
465,AAPL  180720C00200000
466,AAPL  180720C00205000
467,AAPL  180720C00020000
468,AAPL  180720C00210000
469,AAPL  180720C00215000
470,AAPL  180720C00022500
471,AAPL  180720C00220000
472,AAPL  180720C00225000
473,AAPL  180720C00230000
474,AAPL  180720C00235000
475,AAPL  180720C00240000
476,AAPL  180720C00245000
477,AAPL  180720C00250000
478,AAPL  180720C00255000
479,AAPL  180720C00025000
480,AAPL  180720C00260000
481,AAPL  180720C00265000
482,AAPL  180720C00270000
483,AAPL  180720C00275000
484,AAPL  180720C00280000
485,AAPL  180720C00285000
486,AAPL  180720C00290000
487,AAPL  180720C00295000
488,AAPL  180720C00300000
489,AAPL  180720C00305000
490,AAPL  180720C00030000
491,AAPL  180720C00310000
492,AAPL  180720C00315000
493,AAPL  180720C00320000
494,AAPL  180720C00325000
495,AAPL  180720C00330000
496,AAPL  180720C00335000
497,AAPL  180720C00340000
498,AAPL  180720C00035000
499,AAPL  180720C00040000
500,AAPL  180720C00045000
501,AAPL  180720C00050000
502,AAPL  180720C00055000
503,AAPL  180720C00005000
504,AAPL  180720C00060000
505,AAPL  180720C00065000
506,AAPL  180720C00007500
507,AAPL  180720C00070000
508,AAPL  180720C00075000
509,AAPL  180720C00080000
510,AAPL  180720C00085000
511,AAPL  180720C00090000
512,AAPL  180720C00095000
513,AAPL  180720P00100000
514,AAPL  180720P00105000
515,AAPL  180720P00010000
516,AAPL  180720P00110000
517,AAPL  180720P00115000
518,AAPL  180720P00012500
519,AAPL  180720P00120000
520,AAPL  180720P00125000
521,AAPL  180720P00130000
522,AAPL  180720P00135000
523,AAPL  180720P00140000
524,AAPL  180720P00145000
525,AAPL  180720P00150000
526,AAPL  180720P00155000
527,AAPL  180720P00015000
528,AAPL  180720P00160000
529,AAPL  180720P00165000
530,AAPL  180720P00017500
531,AAPL  180720P00170000
532,AAPL  180720P00175000
533,AAPL  180720P00180000
534,AAPL  180720P00185000
535,AAPL  180720P00190000
536,AAPL  180720P00195000
537,AAPL  180720P00002500
538,AAPL  180720P00200000
539,AAPL  180720P00205000
540,AAPL  180720P00020000
541,AAPL  180720P00210000
542,AAPL  180720P00215000
543,AAPL  180720P00022500
544,AAPL  180720P00220000
545,AAPL  180720P00225000
546,AAPL  180720P00230000
547,AAPL  180720P00235000
548,AAPL  180720P00240000
549,AAPL  180720P00245000
550,AAPL  180720P00250000
551,AAPL  180720P00255000
552,AAPL  180720P00025000
553,AAPL  180720P00260000
554,AAPL  180720P00265000
555,AAPL  180720P00270000
556,AAPL  180720P00275000
557,AAPL  180720P00280000
558,AAPL  180720P00285000
559,AAPL  180720P00290000
560,AAPL  180720P00295000
561,AAPL  180720P00300000
562,AAPL  180720P00305000
563,AAPL  180720P00030000
564,AAPL  180720P00310000
565,AAPL  180720P00315000
566,AAPL  180720P00320000
567,AAPL  180720P00325000
568,AAPL  180720P00330000
569,AAPL  180720P00335000
570,AAPL  180720P00340000
571,AAPL  180720P00035000
572,AAPL  180720P00040000
573,AAPL  180720P00045000
574,AAPL  180720P00050000
575,AAPL  180720P00055000
576,AAPL  180720P00005000
577,AAPL  180720P00060000
578,AAPL  180720P00065000
579,AAPL  180720P00007500
580,AAPL  180720P00070000
581,AAPL  180720P00075000
582,AAPL  180720P00080000
583,AAPL  180720P00085000
584,AAPL  180720P00090000
585,AAPL  180720P00095000
586,AAPL  200117C00050000
587,AAPL  200117C00055000
588,AAPL  200117C00060000
589,AAPL  200117C00065000
590,AAPL  200117C00070000
591,AAPL  200117C00075000
592,AAPL  200117P00050000
593,AAPL  200117P00055000
594,AAPL  200117P00060000
595,AAPL  200117P00065000
596,AAPL  200117P00070000
597,AAPL  200117P00075000
598,AAPL  180316C00100000
599,AAPL  180316C00105000
600,AAPL  180316C00010000
601,AAPL  180316C00110000
602,AAPL  180316C00115000
603,AAPL  180316C00012500
604,AAPL  180316C00120000
605,AAPL  180316C00125000
606,AAPL  180316C00130000
607,AAPL  180316C00135000
608,AAPL  180316C00140000
609,AAPL  180316C00145000
610,AAPL  180316C00150000
611,AAPL  180316C00155000
612,AAPL  180316C00015000
613,AAPL  180316C00160000
614,AAPL  180316C00165000
615,AAPL  180316C00017500
616,AAPL  180316C00170000
617,AAPL  180316C00180000
618,AAPL  180316C00185000
619,AAPL  180316C00190000
620,AAPL  180316C00195000
621,AAPL  180316C00002500
622,AAPL  180316C00200000
623,AAPL  180316C00205000
624,AAPL  180316C00020000
625,AAPL  180316C00210000
626,AAPL  180316C00215000
627,AAPL  180316C00022500
628,AAPL  180316C00220000
629,AAPL  180316C00225000
630,AAPL  180316C00230000
631,AAPL  180316C00235000
632,AAPL  180316C00240000
633,AAPL  180316C00245000
634,AAPL  180316C00250000
635,AAPL  180316C00255000
636,AAPL  180316C00025000
637,AAPL  180316C00260000
638,AAPL  180316C00265000
639,AAPL  180316C00270000
640,AAPL  180316C00275000
641,AAPL  180316C00280000
642,AAPL  180316C00285000
643,AAPL  180316C00290000
644,AAPL  180316C00295000
645,AAPL  180316C00300000
646,AAPL  180316C00305000
647,AAPL  180316C00030000
648,AAPL  180316C00310000
649,AAPL  180316C00315000
650,AAPL  180316C00320000
651,AAPL  180316C00325000
652,AAPL  180316C00330000
653,AAPL  180316C00335000
654,AAPL  180316C00340000
655,AAPL  180316C00345000
656,AAPL  180316C00350000
657,AAPL  180316C00355000
658,AAPL  180316C00035000
659,AAPL  180316C00360000
660,AAPL  180316C00040000
661,AAPL  180316C00045000
662,AAPL  180316C00050000
663,AAPL  180316C00055000
664,AAPL  180316C00005000
665,AAPL  180316C00060000
666,AAPL  180316C00065000
667,AAPL  180316C00007500
668,AAPL  180316C00070000
669,AAPL  180316C00075000
670,AAPL  180316C00080000
671,AAPL  180316C00085000
672,AAPL  180316C00090000
673,AAPL  180316C00095000
674,AAPL  180316P00100000
675,AAPL  180316P00105000
676,AAPL  180316P00010000
677,AAPL  180316P00110000
678,AAPL  180316P00115000
679,AAPL  180316P00012500
680,AAPL  180316P00120000
681,AAPL  180316P00125000
682,AAPL  180316P00130000
683,AAPL  180316P00135000
684,AAPL  180316P00140000
685,AAPL  180316P00145000
686,AAPL  180316P00150000
687,AAPL  180316P00155000
688,AAPL  180316P00015000
689,AAPL  180316P00160000
690,AAPL  180316P00165000
691,AAPL  180316P00017500
692,AAPL  180316P00170000
693,AAPL  180316P00175000
694,AAPL  180316P00180000
695,AAPL  180316P00185000
696,AAPL  180316P00190000
697,AAPL  180316P00195000
698,AAPL  180316P00002500
699,AAPL  180316P00200000
700,AAPL  180316P00205000
701,AAPL  180316P00020000
702,AAPL  180316P00210000
703,AAPL  180316P00215000
704,AAPL  180316P00022500
705,AAPL  180316P00220000
706,AAPL  180316P00225000
707,AAPL  180316P00230000
708,AAPL  180316P00235000
709,AAPL  180316P00240000
710,AAPL  180316P00245000
711,AAPL  180316P00250000
712,AAPL  180316P00255000
713,AAPL  180316P00025000
714,AAPL  180316P00260000
715,AAPL  180316P00265000
716,AAPL  180316P00270000
717,AAPL  180316P00275000
718,AAPL  180316P00280000
719,AAPL  180316P00285000
720,AAPL  180316P00290000
721,AAPL  180316P00295000
722,AAPL  180316P00300000
723,AAPL  180316P00305000
724,AAPL  180316P00030000
725,AAPL  180316P00310000
726,AAPL  180316P00315000
727,AAPL  180316P00320000
728,AAPL  180316P00325000
729,AAPL  180316P00330000
730,AAPL  180316P00335000
731,AAPL  180316P00340000
732,AAPL  180316P00345000
733,AAPL  180316P00350000
734,AAPL  180316P00355000
735,AAPL  180316P00035000
736,AAPL  180316P00360000
737,AAPL  180316P00040000
738,AAPL  180316P00045000
739,AAPL  180316P00050000
740,AAPL  180316P00055000
741,AAPL  180316P00005000
742,AAPL  180316P00060000
743,AAPL  180316P00065000
744,AAPL  180316P00007500
745,AAPL  180316P00070000
746,AAPL  180316P00075000
747,AAPL  180316P00080000
748,AAPL  180316P00085000
749,AAPL  180316P00090000
750,AAPL  180316P00095000
751,AAPL  180323C00143000
752,AAPL  180323C00144000
753,AAPL  180323C00145000
754,AAPL  180323C00146000
755,AAPL  180323C00147000
756,AAPL  180323C00148000
757,AAPL  180323C00149000
758,AAPL  180323C00150000
759,AAPL  180323C00152500
760,AAPL  180323C00155000
761,AAPL  180323C00157500
762,AAPL  180323C00160000
763,AAPL  180323C00162500
764,AAPL  180323C00165000
765,AAPL  180323C00167500
766,AAPL  180323C00170000
767,AAPL  180323C00172500
768,AAPL  180323C00175000
769,AAPL  180323C00177500
770,AAPL  180323C00180000
771,AAPL  180323C00182500
772,AAPL  180323C00185000
773,AAPL  180323C00187500
774,AAPL  180323C00190000
775,AAPL  180323C00192500
776,AAPL  180323C00195000
777,AAPL  180323C00197500
778,AAPL  180323C00200000
779,AAPL  180323C00202500
780,AAPL  180323P00143000
781,AAPL  180323P00144000
782,AAPL  180323P00145000
783,AAPL  180323P00146000
784,AAPL  180323P00147000
785,AAPL  180323P00148000
786,AAPL  180323P00149000
787,AAPL  180323P00150000
788,AAPL  180323P00152500
789,AAPL  180323P00155000
790,AAPL  180323P00157500
791,AAPL  180323P00160000
792,AAPL  180323P00162500
793,AAPL  180323P00165000
794,AAPL  180323P00167500
795,AAPL  180323P00170000
796,AAPL  180323P00172500
797,AAPL  180323P00175000
798,AAPL  180323P00177500
799,AAPL  180323P00180000
800,AAPL  180323P00182500
801,AAPL  180323P00185000
802,AAPL  180323P00187500
803,AAPL  180323P00190000
804,AAPL  180323P00192500
805,AAPL  180323P00195000
806,AAPL  180323P00197500
807,AAPL  180323P00200000
808,AAPL  180323P00202500
809,AAPL  180323C00130000
810,AAPL  180323C00135000
811,AAPL  180323C00140000
812,AAPL  180323C00205000
813,AAPL  180323C00210000
814,AAPL  180323P00130000
815,AAPL  180323P00135000
816,AAPL  180323P00140000
817,AAPL  180323P00205000
818,AAPL  180323P00210000
819,AAPL  180518C00120000
820,AAPL  180518C00125000
821,AAPL  180518C00130000
822,AAPL  180518C00135000
823,AAPL  180518C00140000
824,AAPL  180518C00145000
825,AAPL  180518C00150000
826,AAPL  180518C00155000
827,AAPL  180518C00160000
828,AAPL  180518C00165000
829,AAPL  180518C00170000
830,AAPL  180518C00175000
831,AAPL  180518C00180000
832,AAPL  180518C00185000
833,AAPL  180518C00190000
834,AAPL  180518C00195000
835,AAPL  180518C00200000
836,AAPL  180518P00120000
837,AAPL  180518P00125000
838,AAPL  180518P00130000
839,AAPL  180518P00135000
840,AAPL  180518P00140000
841,AAPL  180518P00145000
842,AAPL  180518P00150000
843,AAPL  180518P00155000
844,AAPL  180518P00160000
845,AAPL  180518P00165000
846,AAPL  180518P00170000
847,AAPL  180518P00175000
848,AAPL  180518P00180000
849,AAPL  180518P00185000
850,AAPL  180518P00190000
851,AAPL  180518P00195000
852,AAPL  180518P00200000
853,AAPL  180323C00141000
854,AAPL  180323C00142000
855,AAPL  180323P00141000
856,AAPL  180323P00142000
857,AAPL  180329C00140000
858,AAPL  180329C00141000
859,AAPL  180329C00142000
860,AAPL  180329C00143000
861,AAPL  180329C00144000
862,AAPL  180329C00145000
863,AAPL  180329C00146000
864,AAPL  180329C00147000
865,AAPL  180329C00148000
866,AAPL  180329C00149000
867,AAPL  180329C00150000
868,AAPL  180329C00152500
869,AAPL  180329C00155000
870,AAPL  180329C00157500
871,AAPL  180329C00160000
872,AAPL  180329C00162500
873,AAPL  180329C00165000
874,AAPL  180329C00167500
875,AAPL  180329C00170000
876,AAPL  180329C00172500
877,AAPL  180329C00175000
878,AAPL  180329C00177500
879,AAPL  180329C00180000
880,AAPL  180329C00182500
881,AAPL  180329C00185000
882,AAPL  180329C00187500
883,AAPL  180329C00190000
884,AAPL  180329C00192500
885,AAPL  180329C00195000
886,AAPL  180329P00140000
887,AAPL  180329P00141000
888,AAPL  180329P00142000
889,AAPL  180329P00143000
890,AAPL  180329P00144000
891,AAPL  180329P00145000
892,AAPL  180329P00146000
893,AAPL  180329P00147000
894,AAPL  180329P00148000
895,AAPL  180329P00149000
896,AAPL  180329P00150000
897,AAPL  180329P00152500
898,AAPL  180329P00155000
899,AAPL  180329P00157500
900,AAPL  180329P00160000
901,AAPL  180329P00162500
902,AAPL  180329P00165000
903,AAPL  180329P00167500
904,AAPL  180329P00170000
905,AAPL  180329P00172500
906,AAPL  180329P00175000
907,AAPL  180329P00177500
908,AAPL  180329P00180000
909,AAPL  180329P00182500
910,AAPL  180329P00185000
911,AAPL  180329P00187500
912,AAPL  180329P00190000
913,AAPL  180329P00192500
914,AAPL  180329P00195000
915,AAPL  180323C00115000
916,AAPL  180323C00120000
917,AAPL  180323C00125000
918,AAPL  180323C00138000
919,AAPL  180323C00139000
920,AAPL  180323P00115000
921,AAPL  180323P00120000
922,AAPL  180323P00125000
923,AAPL  180323P00138000
924,AAPL  180323P00139000
925,AAPL  180329C00115000
926,AAPL  180329C00120000
927,AAPL  180329C00125000
928,AAPL  180329C00130000
929,AAPL  180329C00135000
930,AAPL  180329P00115000
931,AAPL  180329P00120000
932,AAPL  180329P00125000
